gene,protein_accession,aro_index,count,rpob_Normalization,rpob_count,sample,SampleType
aadA4,AAN34365.1,ARO:3002604,1,0.00047841278690622226,10130,SRR12901025_arg_full,Chlorination
aadA5,AAF17880.1,ARO:3002605,22,0.01052508131193689,10130,SRR12901025_arg_full,Chlorination
acrB,AAC73564.1,ARO:3000216,25,0.0029957753084842013,10130,SRR12901025_arg_full,Chlorination
acrD,BAA16344.1,ARO:3000491,5,0.0006060817098089425,10130,SRR12901025_arg_full,Chlorination
acrF,AAC76298.1,ARO:3000502,5,,10130,SRR12901025_arg_full,Chlorination
adeB,AAL14440.1,ARO:3000775,3,0.00036435105103186234,10130,SRR12901025_arg_full,Chlorination
adeF,CAJ77856.1,ARO:3000777,119,0.01412536319981513,10130,SRR12901025_arg_full,Chlorination
adeJ,AAX14802.1,ARO:3000781,10,0.0011881261846679553,10130,SRR12901025_arg_full,Chlorination
amrB,CAH35802.1,ARO:3002983,5,0.0006025984815916498,10130,SRR12901025_arg_full,Chlorination
arr-1,AAC05822.1,ARO:3002846,156,0.13630777653603116,10130,SRR12901025_arg_full,Chlorination
arr-3,ACD56151.1,ARO:3002848,1,0.0008332620063333541,10130,SRR12901025_arg_full,Chlorination
bacA,AAC76093.1,ARO:3002986,2,0.0009184128682944268,10130,SRR12901025_arg_full,Chlorination
ceoB,AAB58161.1,ARO:3003010,57,0.006976542887656788,10130,SRR12901025_arg_full,Chlorination
cmx,AAG03380.1,ARO:3002703,2,0.0006419518518180432,10130,SRR12901025_arg_full,Chlorination
dfrB3,ACR57831.1,ARO:3003022,1,0.0015926906703333727,10130,SRR12901025_arg_full,Chlorination
efpA,CCP45647.1,ARO:3003955,490,0.1161074498090487,10130,SRR12901025_arg_full,Chlorination
emrA,BAA16547.1,ARO:3000027,2,0.0006435936724109282,10130,SRR12901025_arg_full,Chlorination
emrB,AAC75733.1,ARO:3000074,1,0.00024526815391098724,10130,SRR12901025_arg_full,Chlorination
floR,AAG16656.1,ARO:3002705,2,0.0006213459899078343,10130,SRR12901025_arg_full,Chlorination
iri,AAB41059.1,ARO:3002884,9,0.002359173055431309,10130,SRR12901025_arg_full,Chlorination
kdpE,AAC73788.1,ARO:3003841,4,0.002226948016926309,10130,SRR12901025_arg_full,Chlorination
lmrC,ABX00624.1,ARO:3002881,23,0.005252121502714589,10130,SRR12901025_arg_full,Chlorination
lrfA,AAC43550.1,ARO:3003967,256,,10130,SRR12901025_arg_full,Chlorination
macB,AAV85982.1,ARO:3000535,8,0.0015605899281406072,10130,SRR12901025_arg_full,Chlorination
mdsB,AAL19305.1,ARO:3000790,23,0.0027404535492383886,10130,SRR12901025_arg_full,Chlorination
mdsC,AAL19304.1,ARO:3000791,2,0.0004992958847473669,10130,SRR12901025_arg_full,Chlorination
mdtB,AAC75136.1,ARO:3000793,120,0.014504041839347143,10130,SRR12901025_arg_full,Chlorination
mdtC,AAC75137.1,ARO:3000794,35,0.004292192693442277,10130,SRR12901025_arg_full,Chlorination
mdtF,AAC76539.1,ARO:3000796,6,0.000727298051770731,10130,SRR12901025_arg_full,Chlorination
mexI,AAG07594.1,ARO:3000808,4,,10130,SRR12901025_arg_full,Chlorination
mexJ,AAG07065.1,ARO:3003692,1,,10130,SRR12901025_arg_full,Chlorination
mexK,AAG07064.1,ARO:3003693,99,,10130,SRR12901025_arg_full,Chlorination
mexL,AAG07066.1,ARO:3003710,4,,10130,SRR12901025_arg_full,Chlorination
mexN,BAE06006.1,ARO:3003705,7,0.0008493326332636019,10130,SRR12901025_arg_full,Chlorination
mexQ,BAE06008.1,ARO:3003699,27,0.003223158633606342,10130,SRR12901025_arg_full,Chlorination
mexV,AAG07762.1,ARO:3003030,1,,10130,SRR12901025_arg_full,Chlorination
mexW,AAG07763.1,ARO:3003031,78,,10130,SRR12901025_arg_full,Chlorination
mexY,BAA34300.1,ARO:3003033,7,0.000841220573729088,10130,SRR12901025_arg_full,Chlorination
mphA,BAA03776.1,ARO:3000316,26,0.010832406082333603,10130,SRR12901025_arg_full,Chlorination
mphF,CAJ98570.1,ARO:3003071,2,0.0008388170863755763,10130,SRR12901025_arg_full,Chlorination
msbA,AAC74000.1,ARO:3003950,12,0.002589829769255639,10130,SRR12901025_arg_full,Chlorination
mtrA,CCP46065.1,ARO:3000816,469,,10130,SRR12901025_arg_full,Chlorination
mtrD,AAF42062.1,ARO:3000811,16,0.0018849822165743289,10130,SRR12901025_arg_full,Chlorination
mupB,AEY83581,ARO:3000510,1,,10130,SRR12901025_arg_full,Chlorination
novA,AAF67494.2,ARO:3002522,9,0.0018383166665698507,10130,SRR12901025_arg_full,Chlorination
oprA,BAM10414.1,ARO:3003039,2,,10130,SRR12901025_arg_full,Chlorination
oqxB,AAP43110.2,ARO:3003923,53,0.0063450007960854735,10130,SRR12901025_arg_full,Chlorination
otr(A),CAA37477.1,ARO:3002891,1,,10130,SRR12901025_arg_full,Chlorination
pp-flo,BAA07072.1,ARO:3002812,4,0.0013421073382009223,10130,SRR12901025_arg_full,Chlorination
qacB,AAQ10694.1,ARO:3003047,1,0.00024431565622589605,10130,SRR12901025_arg_full,Chlorination
qacH,AAZ42322.1,ARO:3003836,1,,10130,SRR12901025_arg_full,Chlorination
qepA,AEZ36150.1,ARO:3000448,5,,10130,SRR12901025_arg_full,Chlorination
rosA,AAC60781.1,ARO:3003048,8,0.0024491009821184712,10130,SRR12901025_arg_full,Chlorination
